56,46,42,36,33,32,28,15,7,2
59,60,65,69,79,84,86,90,97,115
91,89,88,87,86,85,84,83,77,76
74,73,71,66,59,57,54,51,50,47
45,40,35,34,32,32,32,33,36,48
52,56,59,63,67,71,75,89,98,115
91,93,94,96,100,100,100,100,100,115
49,46,43,40,37,34,30,27,24,21
20,20,18,15,13,12,7,6,5,11
18,25,32,39,47,69,75,88,96,115
72,93,94,93,93,92,97,101,101,115
73,66,76,88,100,100,100,100,100,115
65,63,60,58,56,54,51,49,47,44
35,38,40,43,52,63,73,84,94,115
10,14,28,46,60,66,89,93,99,115
87,86,70,69,70,71,73,82,97,115
74,67,68,68,68,69,69,70,70,71
72,73,73,74,75,75,78,79,80,81
82,83,82,82,81,81,80,80,79,75
73,71,77,77,76,78,79,81,96,115
73,71,70,70,70,71,73,75,77,72
70,68,69,71,74,80,85,92,100,115
55,61,69,74,77,81,85,89,97,115
87,87,87,88,89,90,93,95,99,115
79,78,75,67,65,59,58,57,50,43
40,34,11,13,29,49,58,68,74,79
69,65,59,57,52,45,33,31,33,35
37,38,44,52,60,67,75,82,90,115
83,78,68,62,57,51,45,40,34,13
12,9,3,3,9,15,34,46,72,87
82,71,44,15,12,9,7,4,1,26
43,49,72,76,81,83,88,93,100,115
66,63,61,50,44,32,20,14,8,4
16,22,28,34,40,42,46,51,59,89
96,93,88,86,82,82,76,70,69,75
86,100,100,100,100,100,100,100,100,115
96,97,97,97,97,97,98,98,99,115
62,58,53,46,40,38,36,34,32,29
27,24,22,20,16,10,8,4,2,0
19,14,9,3,3,5,9,11,13,17
19,21,23,25,27,29,31,33,36,38
41,47,50,52,55,59,61,67,70,73
75,78,81,84,87,89,92,95,100,115
74,65,58,48,47,46,45,45,45,43
50,56,62,69,75,82,87,91,96,115
93,92,90,86,84,79,76,74,72,70
69,68,65,64,62,61,61,61,61,62
63,65,67,70,74,79,84,89,95,115
95,90,86,82,78,77,82,89,94,115
70,62,63,64,65,65,66,66,65,57
47,46,48,49,50,52,55,57,60,63
66,69,73,76,80,84,88,93,97,115
41,19,17,15,14,13,11,9,7,5
4,4,5,7,10,12,14,19,22,24
27,28,30,32,34,36,41,45,47,52
54,58,63,65,68,73,74,76,84,115
49,48,52,55,66,74,83,84,84,86
81,76,75,74,72,68,64,63,60,58
74,70,67,65,63,62,61,61,62,64
67,70,74,85,88,92,94,97,99,115
92,78,79,79,80,80,81,81,80,80
80,81,81,82,82,80,78,81,99,115
25,12,4,16,21,32,50,68,91,115
32,26,9,1,6,21,37,53,55,57
58,60,63,66,74,85,95,99,100,115
88,80,72,70,71,72,74,84,98,115
62,60,57,54,53,51,50,49,47,47
47,51,53,57,62,65,66,70,98,115
84,57,46,38,39,41,42,41,30,19
15,8,26,53,58,71,88,91,94,115
93,91,90,92,92,100,101,101,101,115
61,49,48,49,50,52,56,59,64,68
82,96,101,101,97,96,91,89,86,82
74,70,61,59,61,63,65,68,72,87
21,16,11,6,3,16,34,31,20,27
30,34,43,47,56,73,82,96,100,115
77,72,67,63,58,56,53,52,49,46
44,39,35,34,31,29,23,22,20,115
46,60,66,72,74,79,82,92,99,115
36,37,43,48,51,65,78,86,97,115
51,41,37,33,29,23,21,10,10,16
27,30,34,44,50,58,78,86,98,115
5,14,27,36,49,53,80,91,98,115
13,17,31,35,39,53,76,84,97,115
90,86,78,74,69,64,57,49,27,19
7,4,9,16,24,31,40,68,95,115
18,26,25,25,33,42,51,86,95,115
98,92,83,81,79,78,72,70,70,72
67,66,74,76,78,81,88,92,96,115
68,57,46,43,36,28,22,21,21,115
79,77,68,66,61,58,54,51,47,44
42,36,34,30,28,26,24,22,20,18
12,10,6,4,2,0,2,4,6,12
14,18,20,22,24,26,27,34,36,40
42,44,46,48,50,52,74,82,97,115
86,78,76,73,71,69,67,62,55,53
49,47,42,40,30,28,25,18,13,1
6,8,11,36,45,60,77,82,94,115
96,92,82,63,58,50,45,44,42,39
39,39,39,40,40,35,34,37,50,57
62,73,72,70,67,66,73,78,80,115
88,86,83,81,80,73,72,69,68,66
65,57,44,40,34,30,25,18,13,5
24,32,44,52,59,67,75,82,90,115
15,18,13,2,9,19,34,48,56,75
62,55,48,40,33,27,16,13,7,4
1,6,9,22,28,41,63,68,80,115
71,71,72,72,75,77,79,81,83,115
82,82,81,82,82,81,82,82,82,82
82,82,81,81,78,49,46,65,75,82
54,47,47,51,62,63,64,70,77,83
69,58,46,44,42,39,37,30,20,10
1,11,22,33,50,56,83,90,99,115
73,66,54,14,13,12,7,1,5,8
15,17,22,23,25,38,40,41,47,48
50,55,56,57,60,60,63,77,92,115
54,51,48,46,41,36,53,83,94,115
28,7,5,2,7,21,49,55,95,115
80,80,78,78,78,78,79,79,81,83
86,87,90,89,87,87,89,93,96,100
88,71,80,63,71,69,66,65,63,71
78,97,96,96,93,85,76,68,68,115
46,40,26,19,25,55,69,79,94,115
76,61,41,38,33,32,34,34,33,34
35,36,35,36,36,37,37,38,80,89
2,2,2,2,2,2,2,2,2,2
2,2,2,2,3,3,3,4,5,0
15,20,28,33,33,35,37,41,49,54
